code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E06000047,County Durham UA,19000.0,20400.0,15100.0,182000.0,29500.0,24400.0,79000.0,18200.0,16400.0,249000.0,30300.0,24300.0,249000.0,3730.0,2130.0,928770000.0,387600000.0,5369000000.0,1437800000.0,7544700000.0
E06000049,Cheshire East UA,23000.0,26700.0,15900.0,159000.0,43100.0,26900.0,70000.0,22500.0,17700.0,221000.0,45800.0,28900.0,221000.0,9340.0,2860.0,2064140000.0,614100000.0,6852900000.0,1575000000.0,10121800000.0
E06000050,Cheshire West and Chester UA,15000.0,25000.0,14800.0,133000.0,35300.0,26800.0,53000.0,21500.0,18400.0,179000.0,37900.0,27600.0,179000.0,6140.0,2700.0,1099060000.0,375000000.0,4694900000.0,1139500000.0,6784100000.0
E06000051,Shropshire UA,22000.0,20900.0,15600.0,123000.0,31400.0,24900.0,50000.0,19900.0,16300.0,168000.0,34900.0,26500.0,168000.0,5060.0,2470.0,850080000.0,459800000.0,3862200000.0,995000000.0,5863200000.0
E06000052,Cornwall UA,44000.0,21600.0,15500.0,187000.0,27300.0,22500.0,88000.0,18800.0,16500.0,273000.0,31200.0,24400.0,273000.0,4000.0,2090.0,1092000000.0,950400000.0,5105100000.0,1654400000.0,8517600000.0
E06000053,Isles of Scilly UA,9533.898305084746,28918.0790960452,16401.214689265536,68101.69491525424,36455.64971751413,26956.214689265536,22824.858757062146,19919.774011299436,17008.19209039548,89420.90395480226,39329.943502824855,27862.146892655368,89420.90395480226,6828.926553672316,2726.129943502825,610648785.470331,275702025.28009194,2482691534.9995213,454666028.2805069,3516919100.5139003
E06000054,Wiltshire UA,30000.0,26600.0,16200.0,198000.0,35800.0,26600.0,88000.0,21500.0,17700.0,272000.0,39700.0,28600.0,272000.0,6650.0,2780.0,1808800000.0,798000000.0,7088400000.0,1892000000.0,10798400000.0
E06000055,Bedford UA,10000.0,28300.0,18700.0,74000.0,36400.0,28100.0,24000.0,20100.0,16900.0,97000.0,38100.0,28100.0,97000.0,6170.0,2760.0,598490000.0,283000000.0,2693600000.0,482400000.0,3695700000.0
E06000056,Central Bedfordshire UA,19000.0,25900.0,19400.0,129000.0,37800.0,29400.0,43000.0,18900.0,16700.0,172000.0,38800.0,29500.0,172000.0,6270.0,3000.0,1078440000.0,492100000.0,4876200000.0,812700000.0,6673600000.0
E06000057,Northumberland UA,17000.0,24500.0,15300.0,114000.0,30700.0,24600.0,63000.0,19500.0,16400.0,168000.0,33400.0,25300.0,168000.0,4820.0,2300.0,809760000.0,416500000.0,3499800000.0,1228500000.0,5611200000.0
