code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E09000001,City of London,2,"292,000","43,800",7,"122,000","55,400",1,"38,900","24,700",9,"167,000","62,200",9,"56,400","11,400",529
E09000008,Croydon,22,"22,900","15,100",156,"38,900","29,400",36,"20,800","17,400",192,"40,900","30,400",192,"6,970","3,200","1,340"
E09000009,Ealing,25,"34,200","19,400",145,"44,200","29,800",26,"19,700","16,400",178,"46,800","30,900",178,"9,460","3,270","1,690"
E09000010,Enfield,22,"28,000","18,200",109,"39,400","28,600",28,"20,300","17,000",142,"42,800","29,900",142,"7,810","3,110","1,110"
E09000011,Greenwich,17,"37,200","17,700",113,"47,200","32,000",18,"17,900","15,600",136,"48,900","31,800",136,"10,100","3,520","1,370"
E09000012,Hackney,17,"37,300","17,000",107,"48,400","32,700",10,"17,800","16,100",123,"52,500","34,300",123,"11,300","3,890","1,390"
E09000013,Hammersmith and Fulham,12,"91,000","18,100",84,"73,200","35,300",11,"24,200","16,500",98,"83,600","37,000",98,"24,200","4,390","2,380"
E09000014,Haringey,25,"44,900","16,500",104,"51,500","29,600",15,"22,000","15,800",128,"57,100","31,300",128,"13,600","3,290","1,750"
E09000015,Harrow,23,"28,600","19,400",93,"43,300","30,400",23,"20,800","16,800",125,"46,500","32,300",125,"8,870","3,450","1,110"
E09000016,Havering,19,"25,000","18,900",99,"39,900","30,100",33,"18,700","16,900",135,"40,000","29,800",135,"6,750","3,150",912
E09000017,Hillingdon,17,"26,900","17,900",115,"39,700","30,000",26,"19,600","17,300",144,"41,600","30,600",144,"7,170","3,230","1,030"
E09000018,Hounslow,17,"32,900","17,600",115,"42,700","28,300",20,"19,500","15,800",140,"45,400","29,300",140,"9,070","3,020","1,270"
E09000019,Islington,15,"75,700","15,900",95,"67,300","36,600",10,"24,300","18,000",110,"76,600","38,200",110,"20,700","4,670","2,270"
E09000020,Kensington and Chelsea,11,"319,000","16,900",55,"149,000","37,500",11,"33,600","16,000",68,"208,000","43,900",68,"71,600","5,520","4,900"
E09000021,Kingston upon Thames,10,"34,600","16,400",65,"53,600","34,200",16,"23,200","18,100",82,"56,500","35,900",82,"12,600","3,960","1,030"
E09000022,Lambeth,22,"38,700","15,100",149,"52,500","34,000",14,"18,600","14,500",169,"56,100","34,500",169,"12,800","4,020","2,170"
E09000023,Lewisham,19,"28,200","17,300",126,"43,300","31,900",18,"18,800","16,600",149,"44,800","32,000",149,"8,460","3,460","1,260"
E09000024,Merton,16,"58,700","18,500",91,"57,900","33,100",18,"23,700","18,200",114,"63,000","33,900",114,"15,500","3,800","1,770"
E09000025,Newham,28,"21,300","19,600",121,"35,900","28,200",9,"13,600","13,100",146,"36,100","28,300",146,"5,540","2,930",807
E09000026,Redbridge,24,"25,800","19,100",105,"40,900","30,000",23,"19,700","17,100",138,"42,700","31,200",138,"7,640","3,290","1,050"
E09000027,Richmond upon Thames,13,"94,700","17,700",80,"82,200","40,700",23,"28,200","20,600",104,"90,400","44,000",104,"25,800","5,430","2,690"
E09000028,Southwark,19,"50,400","15,800",140,"52,100","32,700",15,"20,600","15,200",156,"57,800","34,400",156,"13,500","4,010","2,110"
E09000029,Sutton,12,"26,300","19,700",80,"44,800","33,200",20,"20,300","17,400",102,"45,200","33,300",102,"8,350","3,710",851
E09000030,Tower Hamlets,15,"33,200","16,500",134,"53,000","34,900",7,"20,400","13,300",147,"55,500","35,500",147,"12,600","4,220","1,850"
E09000031,Waltham Forest,26,"22,800","17,900",112,"39,300","30,600",17,"18,300","16,700",140,"40,100","30,900",140,"6,630","3,290",931
