code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E14000719,Guildford,8,"56,600","17,000",45,"53,800","33,100",15,"25,200","17,500",60,"60,100","35,700",60,"14,200","4,090",851
E14000720,Hackney North and Stoke Newington,8,"34,600","16,900",51,"46,100","32,600",5,"18,100","16,300",59,"50,400","34,400",59,"10,300","3,880",604
E14000721,Hackney South and Shoreditch,9,"39,900","17,200",56,"50,500","32,700",5,"17,400","15,000",64,"54,500","34,200",64,"12,200","3,900",782
E14000722,Halesowen and Rowley Regis,4,"21,700","18,300",32,"28,300","24,000",9,"17,000","16,000",41,"29,100","24,100",41,"3,270","2,110",135
E14000723,Halifax,3,"16,700","14,500",34,"26,700","22,700",12,"17,600","16,300",45,"28,300","23,400",45,"3,200","1,910",143
E14000724,Haltemprice and Howden,5,"22,400","14,700",36,"34,100","26,800",19,"19,200","17,000",50,"37,700","27,200",50,"6,060","2,640",305
E14000725,Halton,3,"19,100","16,300",37,"30,300","25,600",12,"17,400","15,300",46,"31,500","25,700",46,"4,090","2,410",190
E14000726,Hammersmith,8,"65,500","16,600",53,"58,500","33,800",7,"21,200","15,400",62,"65,800","34,300",62,"16,900","3,970","1,040"
E14000727,Hampstead and Kilburn,11,"197,000","15,700",53,"94,600","38,200",9,"27,800","17,300",66,"142,000","42,100",66,"46,700","5,170","3,060"
E14000728,Harborough,5,"29,500","17,800",41,"36,100","27,200",16,"20,500","17,500",56,"39,400","28,600",56,"6,390","2,780",359
E14000729,Harlow,6,"22,900","16,300",41,"32,500","26,300",11,"18,200","16,000",52,"34,400","27,200",52,"4,950","2,620",257
E14000730,Harrogate and Knaresborough,6,"30,500","13,900",43,"37,400","25,300",19,"23,500","18,700",59,"42,800","28,100",59,"7,930","2,750",466
E14000731,Harrow East,13,"28,600","20,500",39,"40,300","28,500",10,"19,900","16,800",56,"43,600","30,300",56,"7,890","3,100",442
E14000732,Harrow West,8,"25,000","19,000",42,"42,000","31,500",9,"18,900","16,100",52,"44,000","32,500",52,"7,980","3,520",418
E14000733,Hartlepool,3,"22,600","16,300",31,"29,600","24,300",11,"18,300","16,000",41,"30,700","24,700",41,"3,790","2,150",155
E14000734,Harwich and North Essex,7,"29,500","17,900",33,"37,600","28,800",17,"19,700","16,200",49,"39,600","28,600",49,"6,870","2,780",340
E14000735,Hastings and Rye,7,"27,000","19,200",34,"28,500","22,500",15,"18,800","16,200",48,"31,900","24,800",48,"4,060","2,090",197
E14000736,Havant,5,"22,000","18,100",32,"31,700","23,600",15,"19,300","16,900",46,"33,400","24,500",46,"4,750","2,120",219
E14000737,Hayes and Harlington,7,"20,500","18,100",45,"32,400","27,200",7,"15,300","15,200",54,"33,200","28,000",54,"4,460","2,840",241
E14000738,Hazel Grove,3,"27,000","17,900",31,"35,000","28,200",16,"20,800","18,500",44,"35,900","28,600",44,"5,330","2,710",235
E14000739,Hemel Hempstead,7,"29,000","19,100",43,"39,900","27,700",11,"21,300","16,700",54,"43,300","30,100",54,"8,010","3,080",434
E14000740,Hemsworth,4,"21,100","15,500",36,"29,800","24,400",14,"18,700","16,100",48,"31,700","25,200",48,"4,150","2,300",200
E14000741,Hendon,13,"33,900","20,100",52,"44,100","28,800",12,"18,500","16,200",69,"48,200","30,500",69,"9,740","3,210",670
E14000742,Henley,8,"43,100","18,100",42,"55,700","31,200",20,"26,100","19,600",62,"61,100","34,100",62,"14,600","3,620",906
E14000743,Hereford and South Herefordshire,5,"22,700","16,300",33,"28,900","25,400",16,"19,000","17,400",47,"32,200","25,900",47,"4,270","2,400",200
E14000744,Hertford and Stortford,7,"34,400","20,400",50,"48,700","32,300",16,"22,900","19,200",65,"50,600","33,500",65,"10,600","3,710",692
E14000745,Hertsmere,9,"40,400","17,100",45,"44,600","28,500",15,"20,200","16,000",60,"53,300","32,200",60,"11,500","3,320",696
E14000746,Hexham,5,"30,600","14,700",28,"37,100","26,000",16,"23,600","19,500",43,"42,100","28,000",43,"7,610","2,730",324
E14000747,Heywood and Middleton,5,"23,000","16,900",41,"29,500","24,100",13,"17,500","16,100",52,"31,100","24,600",52,"4,070","2,210",212
