code_2010,code_2024,old_population_present
E14000720,E14001260,0.08
E14000721,E14001260,0.82
E14000721,E14001259,0.11
E14000721,E14001306,0.07
E14000722,E14001261,0.73
E14000722,E14001574,0.15
E14000722,E14001478,0.12
E14000723,E14001262,1.00
E14000724,E14001250,0.54
E14000724,E14001315,0.26
E14000724,E14001314,0.19
E14000725,E14001584,0.66
E14000725,E14001455,0.34
E14000726,E14001264,0.67
E14000726,E14001160,0.17
E14000726,E14001207,0.15
E14000727,E14001265,0.65
E14000727,E14001435,0.25
E14000727,E14001122,0.10
E14000727,E14001290,0.00
E14000728,E14001266,0.92
E14000728,E14001488,0.08
E14000729,E14001267,1.00
E14000730,E14001269,0.95
E14000730,E14001582,0.04
E14000730,E14001475,0.00
E14000731,E14001270,0.90
E14000731,E14001271,0.10
E14000732,E14001271,0.94
E14000732,E14001454,0.05
E14000732,E14001270,0.00
E14000733,E14001272,1.00
E14000734,E14001273,0.92
E14000734,E14001174,0.08
E14000734,E14001176,0.01
E14000735,E14001274,0.94
E14000735,E14001088,0.06
E14000736,E14001275,1.00
E14000737,E14001276,1.00
E14000737,E14001558,0.00
E14000738,E14001277,1.00
E14000739,E14001278,0.87
E14000739,E14001268,0.08
E14000739,E14001496,0.05
E14000740,E14001383,0.85
E14000740,E14001418,0.15
E14000741,E14001279,0.90
E14000741,E14001169,0.10
E14000742,E14001280,0.92
E14000742,E14001090,0.05
E14000742,E14001197,0.03
E14000743,E14001281,0.99
E14000743,E14001395,0.01
E14000744,E14001283,0.92
E14000744,E14001139,0.08
E14000745,E14001284,0.93
E14000745,E14001568,0.07
E14000746,E14001285,1.00
E14000746,E14001106,0.00
E14000747,E14001286,0.81
E14000747,E14001103,0.19
E14000748,E14001287,1.00
E14000749,E14001289,0.53
E14000749,E14001268,0.47
E14000750,E14001290,0.84
E14000750,E14001265,0.16
E14000751,E14001292,0.95
E14000751,E14001189,0.03
E14000751,E14001448,0.01
E14000752,E14001293,0.55
E14000752,E14001503,0.34
E14000752,E14001265,0.10
E14000752,E14001553,0.00
E14000753,E14001294,0.83
E14000753,E14001212,0.17
E14000754,E14001295,1.00
E14000755,E14001296,1.00
E14000756,E14001297,0.96
E14000756,E14001506,0.04
E14000756,E14001196,0.00
E14000757,E14001298,0.64
E14000757,E14001512,0.36
E14000758,E14001299,1.00
E14000759,E14001300,0.79
E14000759,E14001167,0.16
E14000759,E14001334,0.05
E14000760,E14001301,0.80
E14000760,E14001300,0.19
E14000760,E14001334,0.00
S14000038,S14000093,1.00
S14000039,S14000094,0.67
S14000039,S14000098,0.29
S14000039,S14000069,0.03
E14000761,E14001302,1.00
E14000762,E14001304,0.50
E14000762,E14001303,0.50
E14000763,E14001305,1.00
E14000764,E14001306,1.00
W07000077,W07000105,0.70
W07000077,W07000088,0.25
W07000077,W07000084,0.05
E14000765,E14001307,0.90
E14000765,E14001492,0.10
E14000766,E14001308,1.00
E14000767,E14001309,0.92
E14000767,E14001566,0.06
E14000767,E14001453,0.02
E14000767,E14001526,0.00
E14000768,E14001310,0.99
E14000768,E14001160,0.01
E14000769,E14001311,1.00
S14000040,S14000040,1.00
E14000770,E14001312,0.85
E14000770,E14001586,0.15
E14000771,E14001313,0.97
E14000771,E14001314,0.03
E14000772,E14001314,0.85
E14000772,E14001313,0.15
E14000773,E14001315,0.90
E14000773,E14001314,0.10
E14000774,E14001394,0.46
E14000774,E14001133,0.37
E14000774,E14001237,0.18
E14000774,E14001545,0.00
S14000041,S14000071,0.81
S14000041,S14000090,0.19
S14000041,S14000076,0.00
E14000775,E14001317,0.81
E14000775,E14001341,0.19
E14000775,E14001584,0.00
N06000009,N05000009,0.90
N06000009,N05000004,0.05
N06000009,N05000003,0.03
N06000009,N05000014,0.02
N06000009,N05000015,0.00
S14000042,S14000092,0.58
S14000042,S14000099,0.23
S14000042,S14000104,0.13
S14000042,S14000074,0.05
S14000042,S14000077,0.01
E14000776,E14001318,0.66
E14000776,E14001104,0.29
E14000776,E14001372,0.05
E14000777,E14001323,0.73
E14000777,E14001319,0.27
E14000777,E14001324,0.00
E14000777,E14001325,0.00
E14000778,E14001320,0.87
E14000778,E14001323,0.13
E14000778,E14001582,0.00
E14000779,E14001321,1.00
E14000779,E14001322,0.00
E14000779,E14001319,0.00
E14000780,E14001322,0.50
E14000780,E14001319,0.50
E14000781,E14001325,0.52
E14000781,E14001324,0.25
E14000781,E14001319,0.22
E14000782,E14001326,0.98
E14000782,E14001327,0.02
E14000783,E14001327,0.91
E14000783,E14001328,0.09
E14000784,E14001328,1.00
E14000785,E14001329,0.85
E14000785,E14001598,0.12
E14000785,E14001350,0.03
E14000786,E14001330,0.88
E14000786,E14001212,0.12
E14000787,E14001331,0.87
E14000787,E14001332,0.13
E14000788,E14001333,0.45
E14000788,E14001083,0.43
E14000788,E14001331,0.11
E14000789,E14001332,0.80
E14000789,E14001333,0.12
E14000789,E14001331,0.08
E14000790,E14001334,1.00
E14000790,E14001300,0.00
E14000791,E14001335,0.97
E14000791,E14001538,0.03
E14000792,E14001336,1.00
S14000043,S14000068,0.73
S14000043,S14000083,0.14
S14000043,S14000064,0.13
S14000043,S14000095,0.00
E14000793,E14001338,0.68
E14000793,E14001340,0.32
E14000794,E14001339,0.66
E14000794,E14001338,0.34
E14000795,E14001340,0.68
E14000795,E14001341,0.17
E14000795,E14001337,0.15
E14000796,E14001341,0.64
E14000796,E14001339,0.36
